,Province_State,County,Party,TotalVotes,WinningVotes
287,Colorado,Kit Carson County,REP,3871,3144
288,Colorado,La Plata County,DEM,35667,20548
289,Colorado,Lake County,DEM,3961,2303
290,Colorado,Larimer County,DEM,224338,126120
291,Colorado,Las Animas County,REP,7961,4284
292,Colorado,Lincoln County,REP,2651,2135
293,Colorado,Logan County,REP,10532,8087
294,Colorado,Mesa County,REP,90622,56894
295,Colorado,Mineral County,REP,756,427
296,Colorado,Moffat County,REP,7026,5670
297,Colorado,Montezuma County,REP,15500,9306
298,Colorado,Montrose County,REP,24922,16770
299,Colorado,Morgan County,REP,13744,9593
300,Colorado,Otero County,REP,9576,5756
301,Colorado,Ouray County,DEM,4020,2365
302,Colorado,Park County,REP,12290,6991
303,Colorado,Phillips County,REP,2485,1958
304,Colorado,Pitkin County,DEM,11957,8989
305,Colorado,Prowers County,REP,5561,4008
306,Colorado,Pueblo County,DEM,88299,43772
307,Colorado,Rio Blanco County,REP,3691,3061
308,Colorado,Rio Grande County,REP,6305,3660
309,Colorado,Routt County,DEM,16876,10582
310,Colorado,Saguache County,DEM,3389,1884
311,Colorado,San Juan County,DEM,563,342
312,Colorado,San Miguel County,DEM,5147,3924
313,Colorado,Sedgwick County,REP,1446,1121
314,Colorado,Summit County,DEM,18479,12631
315,Colorado,Teller County,REP,16939,11241
316,Colorado,Washington County,REP,3008,2595
317,Colorado,Weld County,REP,166968,96145
318,Colorado,Yuma County,REP,4981,4107
319,Connecticut,Andover,DEM,2091,1058
320,Connecticut,Ansonia,DEM,8419,4521
321,Connecticut,Ashford,DEM,2544,1330
322,Connecticut,Avon,DEM,11987,7299
323,Connecticut,Barkhamsted,REP,2442,1228
324,Connecticut,Beacon Falls,REP,3803,2191
325,Connecticut,Berlin,REP,12873,6687
326,Connecticut,Bethany,DEM,3698,1912
327,Connecticut,Bethel,DEM,11172,6270
328,Connecticut,Bethlehem,REP,2367,1393
329,Connecticut,Bloomfield,DEM,12821,11007
